Site Name,latitude,longitude,measured value,data source
10052,44.9,-97,"GIC, measured",NERC
10064,41.8,-88.2,"GIC, measured",NERC
10065,41.8,-87.8,"GIC, measured",NERC
10066,41.6,-87.9,"GIC, measured",NERC
10067,42.1,-87.9,"GIC, measured",NERC
10068,42,-88.2,"GIC, measured",NERC
10069,41.9,-87.7,"GIC, measured",NERC
10071,42.2,-88.9,"GIC, measured",NERC
10072,42.2,-88.9,"GIC, measured",NERC
10073,41.6,-87.7,"GIC, measured",NERC
10074,41.2,-87.9,"GIC, measured",NERC
10075,41.7,-87.5,"GIC, measured",NERC
10076,41.8,-88,"GIC, measured",NERC
10094,41.9,-72.5,"GIC, measured",NERC
10095,41.7,-72.2,"GIC, measured",NERC
10096,41.8,-72.6,"GIC, measured",NERC
10097,41.4,-72.1,"GIC, measured",NERC
10098,41.4,-72.1,"GIC, measured",NERC
10099,41.4,-73.4,"GIC, measured",NERC
10100,41.6,-72.9,"GIC, measured",NERC
10103,38.6,-121.3,"GIC, measured",NERC
10222,40.2,-75.3,"GIC, measured",NERC
10223,32.9,-115.7,"GIC, measured",NERC
10224,40.2,-75.3,"GIC, measured",NERC
10229,43.6,-92.7,"GIC, measured",NERC
10232,45,-92.8,"GIC, measured",NERC
10233,47.6,-122.3,"GIC, measured",NERC
10237,33.7,-84.9,"GIC, measured",NERC
10238,31.5,-83.5,"GIC, measured",NERC
10239,31.3,-81.7,"GIC, measured",NERC
10253,47.5,-116.2,"GIC, measured",NERC
10254,42.8,-82.5,"GIC, measured",NERC
10255,45.7,-94.7,"GIC, measured",NERC
10265,43.6,-116.3,"GIC, measured",NERC
10266,42.8,-114.4,"GIC, measured",NERC
10297,46.8,-92.3,"GIC, measured",NERC
10298,43.4,-88,"GIC, measured",NERC
10299,46.6,-87.4,"GIC, measured",NERC
10300,46.6,-87.4,"GIC, measured",NERC
10301,44,-88.6,"GIC, measured",NERC
10302,44.2,-88.1,"GIC, measured",NERC
10303,44.8,-89.7,"GIC, measured",NERC
10304,44.8,-89.7,"GIC, measured",NERC
10306,44.8,-88.2,"GIC, measured",NERC
10307,44.4,-88.4,"GIC, measured",NERC
10308,42.5,-89.1,"GIC, measured",NERC
10309,45.8,-88,"GIC, measured",NERC
10310,43,-89,"GIC, measured",NERC
10311,43,-89,"GIC, measured",NERC
10312,43,-89,"GIC, measured",NERC
10313,44.5,-89.6,"GIC, measured",NERC
10314,44.5,-89.6,"GIC, measured",NERC
10315,44.5,-89.6,"GIC, measured",NERC
10316,43.7,-88.5,"GIC, measured",NERC
10317,43.7,-88.5,"GIC, measured",NERC
10318,44.4,-88.7,"GIC, measured",NERC
10321,43.1,-88,"GIC, measured",NERC
10322,43.3,-89.4,"GIC, measured",NERC
10336,44.8,-91.5,"GIC, measured",NERC
10338,44.8,-91.5,"GIC, measured",NERC
10339,43.7,-95.7,"GIC, measured",NERC
10340,43.7,-95.7,"GIC, measured",NERC
10341,45,-93.5,"GIC, measured",NERC
10342,45,-93.5,"GIC, measured",NERC
10343,47.9,-97.1,"GIC, measured",NERC
10344,47.9,-97.1,"GIC, measured",NERC
10345,47.9,-97.1,"GIC, measured",NERC
10347,47.9,-97.1,"GIC, measured",NERC
10348,45.5,-94.3,"GIC, measured",NERC
10349,44.8,-93.6,"GIC, measured",NERC
10350,44.8,-93.6,"GIC, measured",NERC
10351,44.8,-93.6,"GIC, measured",NERC
10352,44.8,-93.6,"GIC, measured",NERC
10353,45.4,-93.9,"GIC, measured",NERC
10354,45.9,-91.5,"GIC, measured",NERC
10355,44.2,-94,"GIC, measured",NERC
10356,44.2,-94,"GIC, measured",NERC
10357,47.7,-117.5,"GIC, measured",NERC
10358,38.7,-121.2,"GIC, measured",NERC
10389,38.3,-87.4,"GIC, measured",NERC
10397,39.1,-78.3,"GIC, measured",NERC
10398,41.1,-74.2,"GIC, measured",NERC
10586,34,-118.5,"GIC, measured",NERC
10587,46.4,-117,"GIC, measured",NERC
10591,35.8,-106.1,"GIC, measured",NERC
10592,43.2,-84.5,"GIC, measured",NERC
10603,42.6,-83,"GIC, measured",NERC
10605,45.3,-122.6,"GIC, measured",NERC
10606,41.3,-72.9,"GIC, measured",NERC
10607,41.3,-72.9,"GIC, measured",NERC
10608,41.2,-73.2,"GIC, measured",NERC
10609,41.2,-73.2,"GIC, measured",NERC
10611,39.6,-92.6,"GIC, measured",NERC
10612,30.5,-87.2,"GIC, measured",NERC
10613,29.6,-81.6,"GIC, measured",NERC
10614,29.6,-81.6,"GIC, measured",NERC
10615,29.6,-81.6,"GIC, measured",NERC
10616,29.6,-81.6,"GIC, measured",NERC
10617,28.8,-81.3,"GIC, measured",NERC
10618,38.3,-86.2,"GIC, measured",NERC
10619,38.3,-86.2,"GIC, measured",NERC
10620,39.1,-87.5,"GIC, measured",NERC
10621,39.1,-87.5,"GIC, measured",NERC
10622,39.3,-86.5,"GIC, measured",NERC
10623,39.3,-86.5,"GIC, measured",NERC
10642,42.2,-86.3,"GIC, measured",NERC
10643,40.5,-85.9,"GIC, measured",NERC
10644,37.7,-81.7,"GIC, measured",NERC
10664,36.3,-115.3,"GIC, measured",NERC
10665,31,-86,"GIC, measured",NERC
10701,41.8,-83.3,"GIC, measured",NERC
10707,38.3,-82.7,"GIC, measured",NERC
10708,38.3,-82.7,"GIC, measured",NERC
10051,44.4,-96.5,"GIC, measured",NERC
10063,33.4,-112.5,"GIC, measured",NERC
10077,42.3,-87.9,"GIC, measured",NERC
10078,42.1,-87.8,"GIC, measured",NERC
10079,41.5,-87.6,"GIC, measured",NERC
10080,42,-87.9,"GIC, measured",NERC
10082,41.6,-87.7,"GIC, measured",NERC
10083,40.8,-88.6,"GIC, measured",NERC
10084,41.2,-87.9,"GIC, measured",NERC
10085,41.2,-87.9,"GIC, measured",NERC
10102,42.9,-71.3,"GIC, measured",NERC
10107,34.5,-118.1,"GIC, measured",NERC
10111,43.4,-123,"GIC, measured",NERC
10112,47.7,-117.4,"GIC, measured",NERC
10113,45.6,-121.1,"GIC, measured",NERC
10114,46.5,-116.9,"GIC, measured",NERC
10115,47.6,-114.6,"GIC, measured",NERC
10116,47.9,-121.9,"GIC, measured",NERC
